AccountNumber	FinalChecksum	RawChecksum
03720011535	4	7
03720011536	2	9
03720011537	0	0
03720011538	9	2
03720011539	7	4
03720011540	-1	1
03720011541	8	3
03720011542	6	5
03720011543	4	7
03720011544	2	9
03720011545	0	0
03720011546	9	2
03720011547	7	4
03720011548	5	6
03720011549	3	8
03720011550	6	5
03720011551	4	7
03720011552	2	9
03720011553	0	0
03720011554	9	2
03720011555	7	4
03720011556	5	6
03720011557	3	8
03720011558	1	10
03720011559	-1	1
03720011560	2	9
03720011561	0	0
03720011562	9	2
03720011563	7	4
03720011564	5	6
03720011565	3	8
03720011566	1	10
03720011567	-1	1
03720011568	8	3
03720011569	6	5
03720011570	9	2
03720011571	7	4
03720011572	5	6
03720011573	3	8
03720011574	1	10
03720011575	-1	1
03720011576	8	3
03720011577	6	5
03720011578	4	7
03720011579	2	9
03720011580	5	6
03720011581	3	8
03720011582	1	10
03720011583	-1	1
03720011584	8	3
03720011585	6	5
03720011586	4	7
03720011587	2	9
03720011588	0	0
03720011589	9	2
03720011590	1	10
03720011591	-1	1
03720011592	8	3
03720011593	6	5
03720011594	4	7
03720011595	2	9
03720011596	0	0
03720011597	9	2
03720011598	7	4
03720011599	5	6
03720011600	7	4
03720011601	5	6
03720011602	3	8
03720011603	1	10
03720011604	-1	1
03720011605	8	3
03720011606	6	5
03720011607	4	7
03720011608	2	9
03720011609	0	0
03720011610	3	8
03720011611	1	10
03720011612	-1	1
03720011613	8	3
03720011614	6	5
03720011615	4	7
03720011616	2	9
03720011617	0	0
03720011618	9	2
03720011619	7	4
03720011620	-1	1
03720011621	8	3
03720011622	6	5
03720011623	4	7
03720011624	2	9
03720011625	0	0
03720011626	9	2
03720011627	7	4
03720011628	5	6
03720011629	3	8
03720011630	6	5
03720011631	4	7
03720011632	2	9
03720011633	0	0
03720011634	9	2
03720011635	7	4
03720011636	5	6
03720011637	3	8
03720011638	1	10
03720011639	-1	1
03720011640	2	9
03720011641	0	0
03720011642	9	2
03720011643	7	4
03720011644	5	6
03720011645	3	8
03720011646	1	10
03720011647	-1	1
03720011648	8	3
03720011649	6	5
03720011650	9	2
03720011651	7	4
03720011652	5	6
03720011653	3	8
03720011654	1	10
03720011655	-1	1
03720011656	8	3
03720011657	6	5
03720011658	4	7
03720011659	2	9
03720011660	5	6
03720011661	3	8
03720011662	1	10
03720011663	-1	1
03720011664	8	3
03720011665	6	5
03720011666	4	7
03720011667	2	9
03720011668	0	0
03720011669	9	2
03720011670	1	10
03720011671	-1	1
03720011672	8	3
03720011673	6	5
03720011674	4	7
03720011675	2	9
03720011676	0	0
03720011677	9	2
03720011678	7	4
03720011679	5	6
03720011680	8	3
03720011681	6	5
03720011682	4	7
03720011683	2	9
03720011684	0	0
03720011685	9	2
03720011686	7	4
03720011687	5	6
03720011688	3	8
03720011689	1	10
03720011690	4	7
03720011691	2	9
03720011692	0	0
03720011693	9	2
03720011694	7	4
03720011695	5	6
03720011696	3	8
03720011697	1	10
03720011698	-1	1
03720011699	8	3
03720011700	-1	1
03720011701	8	3
03720011702	6	5
03720011703	4	7
03720011704	2	9
03720011705	0	0
03720011706	9	2
03720011707	7	4
03720011708	5	6
03720011709	3	8
03720011710	6	5
03720011711	4	7
03720011712	2	9
03720011713	0	0
03720011714	9	2
03720011715	7	4
03720011716	5	6
03720011717	3	8
03720011718	1	10
03720011719	-1	1
03720011720	2	9
03720011721	0	0
03720011722	9	2
03720011723	7	4
03720011724	5	6
03720011725	3	8
03720011726	1	10
03720011727	-1	1
03720011728	8	3
03720011729	6	5
03720011730	9	2
03720011731	7	4
03720011732	5	6
03720011733	3	8
03720011734	1	10
03720011735	-1	1
03720011736	8	3
03720011737	6	5
03720011738	4	7
03720011739	2	9
03720011740	5	6
03720011741	3	8
03720011742	1	10
03720011743	-1	1
03720011744	8	3
03720011745	6	5
03720011746	4	7
03720011747	2	9
03720011748	0	0
03720011749	9	2
03720011750	1	10
03720011751	-1	1
03720011752	8	3
03720011753	6	5
03720011754	4	7
03720011755	2	9
03720011756	0	0
03720011757	9	2
03720011758	7	4
03720011759	5	6
03720011760	8	3
03720011761	6	5
03720011762	4	7
03720011763	2	9
03720011764	0	0
03720011765	9	2
03720011766	7	4
03720011767	5	6
03720011768	3	8
03720011769	1	10
03720011770	4	7
03720011771	2	9
03720011772	0	0
03720011773	9	2
03720011774	7	4
03720011775	5	6
03720011776	3	8
03720011777	1	10
03720011778	-1	1
03720011779	8	3
03720011780	0	0
03720011781	9	2
03720011782	7	4
03720011783	5	6
03720011784	3	8
03720011785	1	10
03720011786	-1	1
03720011787	8	3
03720011788	6	5
03720011789	4	7
03720011790	7	4
03720011791	5	6
03720011792	3	8
03720011793	1	10
03720011794	-1	1
03720011795	8	3
03720011796	6	5
03720011797	4	7
03720011798	2	9
03720011799	0	0
03720011800	2	9
03720011801	0	0
03720011802	9	2
03720011803	7	4
03720011804	5	6
03720011805	3	8
03720011806	1	10
03720011807	-1	1
03720011808	8	3
03720011809	6	5
03720011810	9	2
03720011811	7	4
03720011812	5	6
03720011813	3	8
03720011814	1	10
03720011815	-1	1
03720011816	8	3
03720011817	6	5
03720011818	4	7
03720011819	2	9
03720011820	5	6
03720011821	3	8
03720011822	1	10
03720011823	-1	1
03720011824	8	3
03720011825	6	5
03720011826	4	7
03720011827	2	9
03720011828	0	0
03720011829	9	2
03720011830	1	10
03720011831	-1	1
03720011832	8	3
03720011833	6	5
03720011834	4	7
03720011835	2	9
03720011836	0	0
03720011837	9	2
03720011838	7	4
03720011839	5	6
03720011840	8	3
03720011841	6	5
03720011842	4	7
03720011843	2	9
03720011844	0	0
03720011845	9	2
03720011846	7	4
03720011847	5	6
03720011848	3	8
03720011849	1	10
03720011850	4	7
03720011851	2	9
03720011852	0	0
03720011853	9	2
03720011854	7	4
03720011855	5	6
03720011856	3	8
03720011857	1	10
03720011858	-1	1
03720011859	8	3
03720011860	0	0
03720011861	9	2
03720011862	7	4
03720011863	5	6
03720011864	3	8
03720011865	1	10
03720011866	-1	1
03720011867	8	3
03720011868	6	5
03720011869	4	7
03720011870	7	4
03720011871	5	6
03720011872	3	8
03720011873	1	10
03720011874	-1	1
03720011875	8	3
03720011876	6	5
03720011877	4	7
03720011878	2	9
03720011879	0	0
03720011880	3	8
03720011881	1	10
03720011882	-1	1
03720011883	8	3
03720011884	6	5
03720011885	4	7
03720011886	2	9
03720011887	0	0
03720011888	9	2
03720011889	7	4
03720011890	-1	1
03720011891	8	3
03720011892	6	5
03720011893	4	7
03720011894	2	9
03720011895	0	0
03720011896	9	2
03720011897	7	4
03720011898	5	6
03720011899	3	8
03720011900	5	6
03720011901	3	8
03720011902	1	10
03720011903	-1	1
03720011904	8	3
03720011905	6	5
03720011906	4	7
03720011907	2	9
03720011908	0	0
03720011909	9	2
03720011910	1	10
03720011911	-1	1
03720011912	8	3
03720011913	6	5
03720011914	4	7
03720011915	2	9
03720011916	0	0
03720011917	9	2
03720011918	7	4
03720011919	5	6
03720011920	8	3
03720011921	6	5
03720011922	4	7
03720011923	2	9
03720011924	0	0
03720011925	9	2
03720011926	7	4
03720011927	5	6
03720011928	3	8
03720011929	1	10
03720011930	4	7
03720011931	2	9
03720011932	0	0
03720011933	9	2
03720011934	7	4
03720011935	5	6
03720011936	3	8
03720011937	1	10
03720011938	-1	1
03720011939	8	3
03720011940	0	0
03720011941	9	2
03720011942	7	4
03720011943	5	6
03720011944	3	8
03720011945	1	10
03720011946	-1	1
03720011947	8	3
03720011948	6	5
03720011949	4	7
03720011950	7	4
03720011951	5	6
03720011952	3	8
03720011953	1	10
03720011954	-1	1
03720011955	8	3
03720011956	6	5
03720011957	4	7
03720011958	2	9
03720011959	0	0
03720011960	3	8
03720011961	1	10
03720011962	-1	1
03720011963	8	3
03720011964	6	5
03720011965	4	7
03720011966	2	9
03720011967	0	0
03720011968	9	2
03720011969	7	4
03720011970	-1	1
03720011971	8	3
03720011972	6	5
03720011973	4	7
03720011974	2	9
03720011975	0	0
03720011976	9	2
03720011977	7	4
03720011978	5	6
03720011979	3	8
03720011980	6	5
03720011981	4	7
03720011982	2	9
03720011983	0	0
03720011984	9	2
03720011985	7	4
03720011986	5	6
03720011987	3	8
03720011988	1	10
03720011989	-1	1
03720011990	2	9
03720011991	0	0
03720011992	9	2
03720011993	7	4
03720011994	5	6
03720011995	3	8
03720011996	1	10
03720011997	-1	1
03720011998	8	3
03720011999	6	5
03720012000	6	5
03720012001	4	7
03720012002	2	9
03720012003	0	0
03720012004	9	2
03720012005	7	4
03720012006	5	6
03720012007	3	8
03720012008	1	10
03720012009	-1	1
03720012010	2	9
03720012011	0	0
03720012012	9	2
03720012013	7	4
03720012014	5	6
03720012015	3	8
03720012016	1	10
03720012017	-1	1
03720012018	8	3
03720012019	6	5
03720012020	9	2
03720012021	7	4
03720012022	5	6
03720012023	3	8
03720012024	1	10
03720012025	-1	1
03720012026	8	3
03720012027	6	5
03720012028	4	7
03720012029	2	9
03720012030	5	6
03720012031	3	8
03720012032	1	10
03720012033	-1	1
03720012034	8	3
03720012035	6	5
03720012036	4	7
03720012037	2	9
03720012038	0	0
03720012039	9	2
03720012040	1	10
03720012041	-1	1
03720012042	8	3
03720012043	6	5
03720012044	4	7
03720012045	2	9
03720012046	0	0
03720012047	9	2
03720012048	7	4
03720012049	5	6
03720012050	8	3
03720012051	6	5
03720012052	4	7
03720012053	2	9
03720012054	0	0
03720012055	9	2
03720012056	7	4
03720012057	5	6
03720012058	3	8
03720012059	1	10
03720012060	4	7
03720012061	2	9
03720012062	0	0
03720012063	9	2
03720012064	7	4
03720012065	5	6
03720012066	3	8
03720012067	1	10
03720012068	-1	1
03720012069	8	3
03720012070	0	0
03720012071	9	2
03720012072	7	4
03720012073	5	6
03720012074	3	8
03720012075	1	10
03720012076	-1	1
03720012077	8	3
03720012078	6	5
03720012079	4	7
03720012080	7	4
03720012081	5	6
03720012082	3	8
03720012083	1	10
03720012084	-1	1
03720012085	8	3
03720012086	6	5
03720012087	4	7
03720012088	2	9
03720012089	0	0
03720012090	3	8
03720012091	1	10
03720012092	-1	1
03720012093	8	3
03720012094	6	5
03720012095	4	7
03720012096	2	9
03720012097	0	0
03720012098	9	2
03720012099	7	4
03720012100	9	2
03720012101	7	4
03720012102	5	6
03720012103	3	8
03720012104	1	10
03720012105	-1	1
03720012106	8	3
03720012107	6	5
03720012108	4	7
03720012109	2	9
03720012110	5	6
03720012111	3	8
03720012112	1	10
03720012113	-1	1
03720012114	8	3
03720012115	6	5
03720012116	4	7
03720012117	2	9
03720012118	0	0
03720012119	9	2
03720012120	1	10
03720012121	-1	1
03720012122	8	3
03720012123	6	5
03720012124	4	7
03720012125	2	9
03720012126	0	0
03720012127	9	2
03720012128	7	4
03720012129	5	6
03720012130	8	3
03720012131	6	5
03720012132	4	7
03720012133	2	9
03720012134	0	0
03720012135	9	2
03720012136	7	4
03720012137	5	6
03720012138	3	8
03720012139	1	10
03720012140	4	7
03720012141	2	9
03720012142	0	0
03720012143	9	2
03720012144	7	4
03720012145	5	6
03720012146	3	8
03720012147	1	10
03720012148	-1	1
03720012149	8	3
03720012150	0	0
03720012151	9	2
03720012152	7	4
03720012153	5	6
03720012154	3	8
03720012155	1	10
03720012156	-1	1
03720012157	8	3
03720012158	6	5
03720012159	4	7
03720012160	7	4
03720012161	5	6
03720012162	3	8
03720012163	1	10
03720012164	-1	1
03720012165	8	3
03720012166	6	5
03720012167	4	7
03720012168	2	9
03720012169	0	0
03720012170	3	8
03720012171	1	10
03720012172	-1	1
03720012173	8	3
03720012174	6	5
03720012175	4	7
03720012176	2	9
03720012177	0	0
03720012178	9	2
03720012179	7	4
03720012180	-1	1
03720012181	8	3
03720012182	6	5
03720012183	4	7
03720012184	2	9
03720012185	0	0
03720012186	9	2
03720012187	7	4
03720012188	5	6
03720012189	3	8
03720012190	6	5
03720012191	4	7
03720012192	2	9
03720012193	0	0
03720012194	9	2
03720012195	7	4
03720012196	5	6
03720012197	3	8
03720012198	1	10
03720012199	-1	1
03720012200	1	10
03720012201	-1	1
03720012202	8	3
03720012203	6	5
03720012204	4	7
03720012205	2	9
03720012206	0	0
03720012207	9	2
03720012208	7	4
03720012209	5	6
03720012210	8	3
03720012211	6	5
03720012212	4	7
03720012213	2	9
03720012214	0	0
03720012215	9	2
03720012216	7	4
03720012217	5	6
03720012218	3	8
03720012219	1	10
03720012220	4	7
03720012221	2	9
03720012222	0	0
03720012223	9	2
03720012224	7	4
03720012225	5	6
03720012226	3	8
03720012227	1	10
03720012228	-1	1
03720012229	8	3
03720012230	0	0
03720012231	9	2
03720012232	7	4
03720012233	5	6
03720012234	3	8
03720012235	1	10
03720012236	-1	1
03720012237	8	3
03720012238	6	5
03720012239	4	7
03720012240	7	4
03720012241	5	6
03720012242	3	8
03720012243	1	10
03720012244	-1	1
03720012245	8	3
03720012246	6	5
03720012247	4	7
03720012248	2	9
03720012249	0	0
03720012250	3	8
03720012251	1	10
03720012252	-1	1
03720012253	8	3
03720012254	6	5
03720012255	4	7
03720012256	2	9
03720012257	0	0
03720012258	9	2
03720012259	7	4
03720012260	-1	1
03720012261	8	3
03720012262	6	5
03720012263	4	7
03720012264	2	9
03720012265	0	0
03720012266	9	2
03720012267	7	4
03720012268	5	6
03720012269	3	8
03720012270	6	5
03720012271	4	7
03720012272	2	9
03720012273	0	0
03720012274	9	2
03720012275	7	4
03720012276	5	6
03720012277	3	8
03720012278	1	10
03720012279	-1	1
03720012280	2	9
03720012281	0	0
03720012282	9	2
03720012283	7	4
03720012284	5	6
03720012285	3	8
03720012286	1	10
03720012287	-1	1
03720012288	8	3
03720012289	6	5
03720012290	9	2
03720012291	7	4
03720012292	5	6
03720012293	3	8
03720012294	1	10
03720012295	-1	1
03720012296	8	3
03720012297	6	5
03720012298	4	7
03720012299	2	9
03720012300	4	7
03720012301	2	9
03720012302	0	0
03720012303	9	2
03720012304	7	4
03720012305	5	6
03720012306	3	8
03720012307	1	10
03720012308	-1	1
03720012309	8	3
03720012310	0	0
03720012311	9	2
03720012312	7	4
03720012313	5	6
03720012314	3	8
03720012315	1	10
03720012316	-1	1
03720012317	8	3
03720012318	6	5
03720012319	4	7
03720012320	7	4
03720012321	5	6
03720012322	3	8
03720012323	1	10
03720012324	-1	1
03720012325	8	3
03720012326	6	5
03720012327	4	7
03720012328	2	9
03720012329	0	0
03720012330	3	8
03720012331	1	10
03720012332	-1	1
03720012333	8	3
03720012334	6	5
03720012335	4	7
03720012336	2	9
03720012337	0	0
03720012338	9	2
03720012339	7	4
03720012340	-1	1
03720012341	8	3
03720012342	6	5
03720012343	4	7
03720012344	2	9
03720012345	0	0
03720012346	9	2
03720012347	7	4
03720012348	5	6
03720012349	3	8
03720012350	6	5
03720012351	4	7
03720012352	2	9
03720012353	0	0
03720012354	9	2
03720012355	7	4
03720012356	5	6
03720012357	3	8
03720012358	1	10
03720012359	-1	1
03720012360	2	9
03720012361	0	0
03720012362	9	2
03720012363	7	4
03720012364	5	6
03720012365	3	8
03720012366	1	10
03720012367	-1	1
03720012368	8	3
03720012369	6	5
03720012370	9	2
03720012371	7	4
03720012372	5	6
03720012373	3	8
03720012374	1	10
03720012375	-1	1
03720012376	8	3
03720012377	6	5
03720012378	4	7
03720012379	2	9
03720012380	5	6
03720012381	3	8
03720012382	1	10
03720012383	-1	1
03720012384	8	3
03720012385	6	5
03720012386	4	7
03720012387	2	9
03720012388	0	0
03720012389	9	2
03720012390	1	10
03720012391	-1	1
03720012392	8	3
03720012393	6	5
03720012394	4	7
03720012395	2	9
03720012396	0	0
03720012397	9	2
03720012398	7	4
03720012399	5	6
03720012400	7	4
03720012401	5	6
03720012402	3	8
03720012403	1	10
03720012404	-1	1
03720012405	8	3
03720012406	6	5
03720012407	4	7
03720012408	2	9
03720012409	0	0
03720012410	3	8
03720012411	1	10
03720012412	-1	1
03720012413	8	3
03720012414	6	5
03720012415	4	7
03720012416	2	9
03720012417	0	0
03720012418	9	2
03720012419	7	4
03720012420	-1	1
03720012421	8	3
03720012422	6	5
03720012423	4	7
03720012424	2	9
03720012425	0	0
03720012426	9	2
03720012427	7	4
03720012428	5	6
03720012429	3	8
03720012430	6	5
03720012431	4	7
03720012432	2	9
03720012433	0	0
03720012434	9	2
03720012435	7	4
03720012436	5	6
03720012437	3	8
03720012438	1	10
03720012439	-1	1
03720012440	2	9
03720012441	0	0
03720012442	9	2
03720012443	7	4
03720012444	5	6
03720012445	3	8
03720012446	1	10
03720012447	-1	1
03720012448	8	3
03720012449	6	5
03720012450	9	2
03720012451	7	4
03720012452	5	6
03720012453	3	8
03720012454	1	10
03720012455	-1	1
03720012456	8	3
03720012457	6	5
03720012458	4	7
03720012459	2	9
03720012460	5	6
03720012461	3	8
03720012462	1	10
03720012463	-1	1
03720012464	8	3
03720012465	6	5
03720012466	4	7
03720012467	2	9
03720012468	0	0
03720012469	9	2
03720012470	1	10
03720012471	-1	1
03720012472	8	3
03720012473	6	5
03720012474	4	7
03720012475	2	9
03720012476	0	0
03720012477	9	2
03720012478	7	4
03720012479	5	6
03720012480	8	3
03720012481	6	5
03720012482	4	7
03720012483	2	9
03720012484	0	0
03720012485	9	2
03720012486	7	4
03720012487	5	6
03720012488	3	8
03720012489	1	10
03720012490	4	7
03720012491	2	9
03720012492	0	0
03720012493	9	2
03720012494	7	4
03720012495	5	6
03720012496	3	8
03720012497	1	10
03720012498	-1	1
03720012499	8	3
03720012500	-1	1
03720012501	8	3
03720012502	6	5
03720012503	4	7
03720012504	2	9
03720012505	0	0
03720012506	9	2
03720012507	7	4
03720012508	5	6
03720012509	3	8
03720012510	6	5
03720012511	4	7
03720012512	2	9
03720012513	0	0
03720012514	9	2
03720012515	7	4
03720012516	5	6
03720012517	3	8
03720012518	1	10
03720012519	-1	1
03720012520	2	9
03720012521	0	0
03720012522	9	2
03720012523	7	4
03720012524	5	6
03720012525	3	8
03720012526	1	10
03720012527	-1	1
03720012528	8	3
03720012529	6	5
03720012530	9	2
03720012531	7	4
03720012532	5	6
03720012533	3	8
03720012534	1	10
03720012535	-1	1
03720012536	8	3
03720012537	6	5
03720012538	4	7
03720012539	2	9
03720012540	5	6
03720012541	3	8
03720012542	1	10
03720012543	-1	1
03720012544	8	3
03720012545	6	5
03720012546	4	7
03720012547	2	9
03720012548	0	0
03720012549	9	2
03720012550	1	10
03720012551	-1	1
03720012552	8	3
03720012553	6	5
03720012554	4	7
03720012555	2	9
03720012556	0	0
03720012557	9	2
03720012558	7	4
03720012559	5	6
03720012560	8	3
03720012561	6	5
03720012562	4	7
03720012563	2	9
03720012564	0	0
03720012565	9	2
03720012566	7	4
03720012567	5	6
03720012568	3	8
03720012569	1	10
03720012570	4	7
03720012571	2	9
03720012572	0	0
03720012573	9	2
03720012574	7	4
03720012575	5	6
03720012576	3	8
03720012577	1	10
03720012578	-1	1
03720012579	8	3
03720012580	0	0
03720012581	9	2
03720012582	7	4
03720012583	5	6
03720012584	3	8
03720012585	1	10
03720012586	-1	1
03720012587	8	3
03720012588	6	5
03720012589	4	7
03720012590	7	4
03720012591	5	6
03720012592	3	8
03720012593	1	10
03720012594	-1	1
03720012595	8	3
03720012596	6	5
03720012597	4	7
03720012598	2	9
03720012599	0	0
03720012600	2	9
03720012601	0	0
03720012602	9	2
03720012603	7	4
03720012604	5	6
03720012605	3	8
03720012606	1	10
03720012607	-1	1
03720012608	8	3
03720012609	6	5
03720012610	9	2
03720012611	7	4
03720012612	5	6
03720012613	3	8
03720012614	1	10
03720012615	-1	1
03720012616	8	3
03720012617	6	5
03720012618	4	7
03720012619	2	9
03720012620	5	6
03720012621	3	8
03720012622	1	10
03720012623	-1	1
03720012624	8	3
03720012625	6	5
03720012626	4	7
03720012627	2	9
03720012628	0	0
03720012629	9	2
03720012630	1	10
03720012631	-1	1
03720012632	8	3
03720012633	6	5
03720012634	4	7
03720012635	2	9
03720012636	0	0
03720012637	9	2
03720012638	7	4
03720012639	5	6
03720012640	8	3
03720012641	6	5
03720012642	4	7
03720012643	2	9
03720012644	0	0
03720012645	9	2
03720012646	7	4
03720012647	5	6
03720012648	3	8
03720012649	1	10
03720012650	4	7
03720012651	2	9
03720012652	0	0
03720012653	9	2
03720012654	7	4
03720012655	5	6
03720012656	3	8
03720012657	1	10
03720012658	-1	1
03720012659	8	3
03720012660	0	0
03720012661	9	2
03720012662	7	4
03720012663	5	6
03720012664	3	8
03720012665	1	10
03720012666	-1	1
03720012667	8	3
03720012668	6	5
03720012669	4	7
03720012670	7	4
03720012671	5	6
03720012672	3	8
03720012673	1	10
03720012674	-1	1
03720012675	8	3
03720012676	6	5
03720012677	4	7
03720012678	2	9
03720012679	0	0
03720012680	3	8
03720012681	1	10
03720012682	-1	1
03720012683	8	3
03720012684	6	5
03720012685	4	7
03720012686	2	9
03720012687	0	0
03720012688	9	2
03720012689	7	4
03720012690	-1	1
03720012691	8	3
03720012692	6	5
03720012693	4	7
03720012694	2	9
03720012695	0	0
03720012696	9	2
03720012697	7	4
03720012698	5	6
03720012699	3	8
03720012700	5	6
03720012701	3	8
03720012702	1	10
03720012703	-1	1
03720012704	8	3
03720012705	6	5
03720012706	4	7
03720012707	2	9
03720012708	0	0
03720012709	9	2
03720012710	1	10
03720012711	-1	1
03720012712	8	3
03720012713	6	5
03720012714	4	7
03720012715	2	9
03720012716	0	0
03720012717	9	2
03720012718	7	4
03720012719	5	6
03720012720	8	3
03720012721	6	5
03720012722	4	7
03720012723	2	9
03720012724	0	0
03720012725	9	2
03720012726	7	4
03720012727	5	6
03720012728	3	8
03720012729	1	10
03720012730	4	7
03720012731	2	9
03720012732	0	0
03720012733	9	2
03720012734	7	4
03720012735	5	6
03720012736	3	8
03720012737	1	10
03720012738	-1	1
03720012739	8	3
03720012740	0	0
03720012741	9	2
03720012742	7	4
03720012743	5	6
03720012744	3	8
03720012745	1	10
03720012746	-1	1
03720012747	8	3
03720012748	6	5
03720012749	4	7
03720012750	7	4
03720012751	5	6
03720012752	3	8
03720012753	1	10
03720012754	-1	1
03720012755	8	3
03720012756	6	5
03720012757	4	7
03720012758	2	9
03720012759	0	0
03720012760	3	8
03720012761	1	10
03720012762	-1	1
03720012763	8	3
03720012764	6	5
03720012765	4	7
03720012766	2	9
03720012767	0	0
03720012768	9	2
03720012769	7	4
03720012770	-1	1
03720012771	8	3
03720012772	6	5
03720012773	4	7
03720012774	2	9
03720012775	0	0
03720012776	9	2
03720012777	7	4
03720012778	5	6
03720012779	3	8
03720012780	6	5
03720012781	4	7
03720012782	2	9
03720012783	0	0
03720012784	9	2
03720012785	7	4
03720012786	5	6
03720012787	3	8
03720012788	1	10
03720012789	-1	1
03720012790	2	9
03720012791	0	0
03720012792	9	2
03720012793	7	4
03720012794	5	6
03720012795	3	8
03720012796	1	10
03720012797	-1	1
03720012798	8	3
03720012799	6	5
03720012800	8	3
03720012801	6	5
03720012802	4	7
03720012803	2	9
03720012804	0	0
03720012805	9	2
03720012806	7	4
03720012807	5	6
03720012808	3	8
03720012809	1	10
03720012810	4	7
03720012811	2	9
03720012812	0	0
03720012813	9	2
03720012814	7	4
03720012815	5	6
03720012816	3	8
03720012817	1	10
03720012818	-1	1
03720012819	8	3
03720012820	0	0
03720012821	9	2
03720012822	7	4
03720012823	5	6
03720012824	3	8
03720012825	1	10
03720012826	-1	1
03720012827	8	3
03720012828	6	5
03720012829	4	7
03720012830	7	4
03720012831	5	6
03720012832	3	8
03720012833	1	10
03720012834	-1	1
03720012835	8	3
03720012836	6	5
03720012837	4	7
03720012838	2	9
03720012839	0	0
03720012840	3	8
03720012841	1	10
03720012842	-1	1
03720012843	8	3
03720012844	6	5
03720012845	4	7
03720012846	2	9
03720012847	0	0
03720012848	9	2
03720012849	7	4
03720012850	-1	1
03720012851	8	3
03720012852	6	5
03720012853	4	7
03720012854	2	9
03720012855	0	0
03720012856	9	2
03720012857	7	4
03720012858	5	6
03720012859	3	8
03720012860	6	5
03720012861	4	7
03720012862	2	9
03720012863	0	0
03720012864	9	2
03720012865	7	4
03720012866	5	6
03720012867	3	8
03720012868	1	10
03720012869	-1	1
03720012870	2	9
03720012871	0	0
03720012872	9	2
03720012873	7	4
03720012874	5	6
03720012875	3	8
03720012876	1	10
03720012877	-1	1
03720012878	8	3
03720012879	6	5
03720012880	9	2
03720012881	7	4
03720012882	5	6
03720012883	3	8
03720012884	1	10
03720012885	-1	1
03720012886	8	3
03720012887	6	5
03720012888	4	7
03720012889	2	9
03720012890	5	6
03720012891	3	8
03720012892	1	10
03720012893	-1	1
03720012894	8	3
03720012895	6	5
03720012896	4	7
03720012897	2	9
03720012898	0	0
03720012899	9	2
03720012900	0	0
03720012901	9	2
03720012902	7	4
03720012903	5	6
03720012904	3	8
03720012905	1	10
03720012906	-1	1
03720012907	8	3
03720012908	6	5
03720012909	4	7
03720012910	7	4
03720012911	5	6
03720012912	3	8
03720012913	1	10
03720012914	-1	1
03720012915	8	3
03720012916	6	5
03720012917	4	7
03720012918	2	9
03720012919	0	0
03720012920	3	8
03720012921	1	10
03720012922	-1	1
03720012923	8	3
03720012924	6	5
03720012925	4	7
03720012926	2	9
03720012927	0	0
03720012928	9	2
03720012929	7	4
03720012930	-1	1
03720012931	8	3
03720012932	6	5
03720012933	4	7
03720012934	2	9
03720012935	0	0
03720012936	9	2
03720012937	7	4
03720012938	5	6
03720012939	3	8
03720012940	6	5
03720012941	4	7
03720012942	2	9
03720012943	0	0
03720012944	9	2
03720012945	7	4
03720012946	5	6
03720012947	3	8
03720012948	1	10
03720012949	-1	1
03720012950	2	9
03720012951	0	0
03720012952	9	2
03720012953	7	4
03720012954	5	6
03720012955	3	8
03720012956	1	10
03720012957	-1	1
03720012958	8	3
03720012959	6	5
03720012960	9	2
03720012961	7	4
03720012962	5	6
03720012963	3	8
03720012964	1	10
03720012965	-1	1
03720012966	8	3
03720012967	6	5
03720012968	4	7
03720012969	2	9
03720012970	5	6
03720012971	3	8
03720012972	1	10
03720012973	-1	1
03720012974	8	3
03720012975	6	5
03720012976	4	7
03720012977	2	9
03720012978	0	0
03720012979	9	2
03720012980	1	10
03720012981	-1	1
03720012982	8	3
03720012983	6	5
03720012984	4	7
03720012985	2	9
03720012986	0	0
03720012987	9	2
03720012988	7	4
03720012989	5	6
03720012990	8	3
03720012991	6	5
03720012992	4	7
03720012993	2	9
03720012994	0	0
03720012995	9	2
03720012996	7	4
03720012997	5	6
03720012998	3	8
03720012999	1	10
